,no,ranking,bookname,authors,publisher,publication_year,isbn13,addition_symbol,vol,class_no,class_nm,loan_count,bookImageURL,bookDtlUrl
177,178,178,마흔에 읽는 니체 =지금 이순간을 살기 위한 철학 수업 /Nietzsche,장재형 지음,유노콘텐츠그룹,2022,9791192300245,03160,,165.77,"철학 > 서양철학 > 독일, 오스트리아철학",3463,https://image.aladin.co.kr/product/30006/52/cover/k162838352_1.jpg, https://data4library.kr/bookV?seq=6546065
178,179,179,망원동 브라더스 :김호연 장편소설,지은이: 김호연,나무옆의자,2013,9788997962129,03810,,813.7,문학 > 한국문학 > 소설,3458,https://bookthumb-phinf.pstatic.net/cover/072/526/07252663.jpg?type=m1&udate=20171209, https://data4library.kr/bookV?seq=1950965
179,180,180,마법천자문 :손오공의 한자 대탐험,"저자: 스튜디오시리얼,정수영",아울북,2005,9788950995904,77720,51,711.4,"언어 > 한국어 > 음운, 음성, 문자",3455,https://image.aladin.co.kr/product/27526/22/cover/8950995905_2.jpg, https://data4library.kr/bookV?seq=6045918
180,181,181,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,글: 김미영 ;그림: 김정한,북이십일,2018,9788950983369,74900,10,980.2,역사 > 지리 > 지리,3452,https://image.aladin.co.kr/product/20796/92/cover/8950983362_1.jpg, https://data4library.kr/bookV?seq=5478213
181,182,182,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,글: 김미영 ;그림: 김정한,북이십일,2018,9788950978358,74900,5,980.2,역사 > 지리 > 지리,3441,https://image.aladin.co.kr/product/17424/71/cover/8950978350_2.jpg, https://data4library.kr/bookV?seq=5243812
182,183,183,(신기한 맛) 도깨비 식당,"김용세,센개 그림",꿈터,2022,9791167390646,74810,2,813.7,문학 > 한국문학 > 소설,3433,https://image.aladin.co.kr/product/29806/83/cover/k802838113_1.jpg, https://data4library.kr/bookV?seq=6519676
183,184,184,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,글: 김미영 ;그림: 김정한,북이십일,2018,9788950987008,74900,13,980.2,역사 > 지리 > 지리,3432,https://image.aladin.co.kr/product/23596/28/cover/8950987007_1.jpg, https://data4library.kr/bookV?seq=5638545
184,185,185,천 개의 파랑 :천선란 장편소설,지은이: 천선란,허블,2020,9791190090261,03810,,813.7,문학 > 한국문학 > 소설,3429,https://image.aladin.co.kr/product/24895/69/cover/k882632470_2.jpg, https://data4library.kr/bookV?seq=5738747
185,186,186,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,글: 김미영 ;그림: 김정한,북이십일,2018,9788950985554,74900,12,980.2,역사 > 지리 > 지리,3421,https://image.aladin.co.kr/product/22811/8/cover/8950985551_1.jpg, https://data4library.kr/bookV?seq=5583794
186,187,187,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,글: 김미영 ;그림: 김정한,북이십일,2018,9788950982188,74900,9,980.2,역사 > 지리 > 지리,3419,https://image.aladin.co.kr/product/19913/94/cover/8950982188_1.jpg, https://data4library.kr/bookV?seq=5450234
187,188,188,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,글: 김미영 ;그림: 김정한,북이십일,2018,9788950997519,74900,22,980.2,역사 > 지리 > 지리,3415,https://image.aladin.co.kr/product/28374/25/cover/8950997517_1.jpg, https://data4library.kr/bookV?seq=6343682
188,189,189,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,글: 김미영 ;그림: 김정한,북이십일,2018,9788950996604,74900,21,980.2,역사 > 지리 > 지리,3414,https://image.aladin.co.kr/product/27838/91/cover/895099660x_1.jpg, https://data4library.kr/bookV?seq=6085198
189,190,190,흔한남매 이상한 나라의 고전 읽기,최재훈 글 ;정주연 그림,미래엔,2022,9791168413955,74810,2,813.5,문학 > 한국문학 > 소설,3405,https://image.aladin.co.kr/product/30340/91/cover/k052839448_1.jpg, https://data4library.kr/bookV?seq=6576357
190,191,191,Go go 카카오 프렌즈 :세계 역사 문화 체험 학습만화,글: 김미영 ;그림: 김정한,북이십일,2018,9788950993511,74900,18,980.2,역사 > 지리 > 지리,3395,https://image.aladin.co.kr/product/26211/84/cover/8950993511_1.jpg, https://data4library.kr/bookV?seq=5853175
191,192,192,죽이고 싶은 아이 :이꽃님 장편소설,지은이: 이꽃님,우리학교,2021,9791190337755,43810,,813.7,문학 > 한국문학 > 소설,3393,https://image.aladin.co.kr/product/27211/83/cover/k422732197_1.jpg, https://data4library.kr/bookV?seq=5986948
192,193,192,놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스 미디어그룹,2016,9791191766318,67400,15,408,"자연과학 > 자연과학 > 전집, 총서",3393,https://image.aladin.co.kr/product/27685/48/cover/k642733336_1.jpg, https://data4library.kr/bookV?seq=6065677
193,194,194,놓지 마 과학!,"글·그림: 신태훈,나승훈",위즈덤하우스 미디어그룹,2016,9791168122369,67400,17,408,"자연과학 > 자연과학 > 전집, 총서",3385,https://image.aladin.co.kr/product/29305/35/cover/k992837600_1.jpg, https://data4library.kr/bookV?seq=6449054
194,195,195,(정재승의) 인간 탐구 보고서,"글: 정재은,그림: 김현민",북이십일,2019,9788950983079,74400,1,511,기술과학 > 의학 > 기초의학,3384,https://image.aladin.co.kr/product/20460/37/cover/8950983079_1.jpg, https://data4library.kr/bookV?seq=5467174
195,196,196,다정한 것이 살아남는다,"지은이: 브라이언 헤어,옮긴이: 이민아",디플롯,2021,9791197413025,03400,,182.4,철학 > 심리학 > 차이심리학,3382,https://image.aladin.co.kr/product/27608/83/cover/k722733028_1.jpg, https://data4library.kr/bookV?seq=6060921
196,197,197,설민석의 세계사 대모험,"글: 설민석,그림: 박성일",단꿈아이,2019,9791196893118,77900,4,909,"역사 > 역사 > 세계사, 세계문화사",3377,https://image.aladin.co.kr/product/22692/88/cover/k942636037_1.jpg, https://data4library.kr/bookV?seq=5581789
197,198,198,설민석의 세계사 대모험,"글: 설민석,그림: 박성일",단꿈아이,2019,9791196893170,77900,6,909,"역사 > 역사 > 세계사, 세계문화사",3374,https://image.aladin.co.kr/product/24741/87/cover/k622631613_1.jpg, https://data4library.kr/bookV?seq=5729586
198,199,199,"우리, 편하게 말해요 :마음을 다해 듣고 할 말은 놓치지 않는 이금희의 말하기 수업",이금희 지음,웅진씽크빅,2022,9788901264776,03710,,802.5,"문학 > 문학 > 문장작법, 수사학",3368,https://image.aladin.co.kr/product/30307/51/cover/8901264773_1.jpg, https://data4library.kr/bookV?seq=6574544
199,200,199,내 멋대로 선생님 뽑기,최은옥 글 ;김무연 그림,김영사,2022,9788934974369,73810,,813.7,문학 > 한국문학 > 소설,3368,https://image.aladin.co.kr/product/29463/46/cover/8934974362_1.jpg, https://data4library.kr/bookV?seq=6461322
